"ID","お名前","メールアドレス","問い合わせ日時","問い合わせ更新日時","個人情報削除日時","経由元","端末","電話番号","郵便番号","都道府県","住所","住所(番地以降)","郵便番号(開設先)","都道府県(開設先)","住所(開設先)","住所(開設先番地以降)","引っ越し予定日","物件種別","物件所有種別","築年数","部屋数","入居済み部屋数","管理会社名","見積もり種別","集合住宅","契約販売店名","契約年数","ガス検針月","使用量","直近の請求額","ガス機器","基本料金(現在)","従量単価(現在)","見積もり数","問い合わせステータス","小ステータス","キャンセル理由","見積もり進行状況","管理者メモ","自動見積もり","提示画面閲覧済み","マッチング画面URL","価格","エネチェンジ","希望連絡時間","緊急度","電気料金セット希望","ご相談内容・ご要望"
"907","GasMan","gasman@gmail.com","2018-02-07 10:28","2018-02-07 10:29","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","連絡済み","","×","","http://localhost:8080/lpgas/contacts/907?pin=9140&token=4316918fa81ca9ddb5e6d2472524da27","×","×","いつでも","通常","しない",""
"906","GasMan","gasman@gmail.com","2018-02-06 14:33","2018-02-06 14:35","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/906?pin=0425&token=62b6bf9e9cbef237abeebd75ca9bdfde","×","×","いつでも","通常","しない",""
"905","GasMan","gasman@gmail.com","2018-02-06 14:28","2018-02-06 14:47","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","連絡済み","","×","","http://localhost:8080/lpgas/contacts/905?pin=1364&token=c931af8db6d9e245fe88fd8b30958fc2","×","×","いつでも","通常","しない",""
"904","GasMan","gasman@gmail.com","2018-02-06 14:27","2018-02-06 14:27","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","ccccc","","1","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/904?pin=9181&token=eb25b9c6e65badc7b321d3c47cea9309","×","×","いつでも","通常","しない",""
"903","GasMan","gasman@gmail.com","2018-02-06 14:27","2018-02-06 14:27","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","ddGasBombe","","1","3","40000","","1701","11778.679012346","0","紹介前","情報確認","","","","×","","http://localhost:8080/lpgas/contacts/903?pin=2728&token=155eca39127927de0563a594487d880a","×","×","いつでも","通常","しない",""
"902","GasMan","gasman@gmail.com","2018-02-06 14:26","2018-02-06 14:26","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe2","","1","3","40000","","1701","11778.679012346","0","紹介前","情報確認","","","","×","","http://localhost:8080/lpgas/contacts/902?pin=1431&token=968e0429aaa4f9a23cf8b208d637ba6a","×","×","いつでも","通常","しない",""
"901","GasMan","gasman@gmail.com","2018-02-06 11:25","2018-02-08 12:45","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","成約","","","工事完了","","×","","http://localhost:8080/lpgas/contacts/901?pin=8199&token=3698505177099c19d4964f5ee06f8098","×","×","いつでも","通常","しない",""
"900","GasMan","gasman@gmail.com","2018-02-05 17:58","2018-02-05 17:58","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/900?pin=2175&token=0c298535adbcc2ad53cafabe559692a3","×","×","いつでも","通常","しない",""
"899","GasMan","gasman@gmail.com","2018-02-05 17:49","2018-02-05 17:57","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/899?pin=9533&token=205c8ec293fc3f5f5340f50fa8c8c07c","×","×","いつでも","通常","しない",""
"898","GasMan","gasman@gmail.com","2018-02-05 17:35","2018-02-05 17:35","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","店舗","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/898?pin=3950&token=4766534c9fd8e06a10f4f9e2d880afca","×","×","いつでも","通常","しない",""
"897","GasMan","gasman@gmail.com","2018-02-05 17:33","2018-02-05 17:34","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","店舗","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/897?pin=0740&token=e5dd377b8b4d41f05e54d6574ce36324","×","×","いつでも","通常","しない",""
"896","GasMan","gasman@gmail.com","2018-02-05 15:43","2018-02-05 15:44","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/896?pin=3006&token=cff4aa1c75299ea0319041ff2a451b26","×","×","いつでも","通常","しない",""
"895","GasMan","gasman@gmail.com","2018-02-05 15:08","2018-02-05 15:39","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/895?pin=9303&token=3f91cf69bc6905eb6ec8827fdb8eb288","×","×","いつでも","通常","しない",""
"894","GasMan","gasman@gmail.com","2018-02-02 18:44","2018-02-02 18:44","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","2","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/894?pin=4432&token=73f4c39ea96904e2cb3f9fe4a101b951","×","×","いつでも","通常","しない",""
"893","GasMan","gasman@gmail.com","2018-02-02 18:43","2018-02-02 18:43","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","1","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/893?pin=6146&token=b0394b9024a06b2cac0e49913c3124f4","×","×","いつでも","通常","しない",""
"892","GasMan","gasman@gmail.com","2018-02-02 18:01","2018-02-02 18:01","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","1","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/892?pin=5083&token=bb775962d6f7843ae9be18867d3d3d45","×","×","いつでも","通常","しない",""
"891","GasMan","gasman@gmail.com","2018-02-02 16:44","2018-02-02 16:44","-","無し","パソコン","08099999999","2770005","千葉県","柏市柏","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","400","","1710","-446.54320987654","0","紹介前","情報確認","","","","×","","http://localhost:8080/lpgas/contacts/891?pin=2791&token=cb95ce8312394edc98d3bb3c5308da2d","×","×","いつでも","通常","しない",""
"890","GasMan","gasman@gmail.com","2018-02-02 15:06","2018-02-05 12:05","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","400","","1701","-443.54320987654","2","紹介済み","情報確認","","委任状獲得済み","","×","","http://localhost:8080/lpgas/contacts/890?pin=3336&token=71220a6af63103a809da921c513ac551","×","×","いつでも","通常","しない",""
"889","GasMan","gasman@gmail.com","2018-02-02 14:46","2018-02-02 14:46","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","2","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/889?pin=6943&token=a20abe2b0c3a5dd8d419fd621ff66824","×","×","いつでも","通常","しない",""
"888","GasMan","gasman@gmail.com","2018-02-01 17:54","2018-02-01 17:54","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40000","","1701","11778.679012346","1","紹介済み","未接続","","未連絡","","◯","","http://localhost:8080/lpgas/contacts/888?pin=8056&token=fa3c13d86e2089a76ba6b213fcc33743","×","×","いつでも","通常","しない",""
"887","削除済み","info+deleted@enepi.jp","2018-01-26 14:35","2018-01-30 17:45","2018-01-30 17:45","無し","パソコン","000-0000-0000","000-0000","東京都","削除済み","削除済み","-","-","-","-","-","マンション・アパート","賃貸(借り主)","9","-","-","-","現在住居","×","GasBombe","","2","3","40000","","1701","11778.679012346","2","紹介済みキャンセル","","","未連絡","jkk j kj k k kjk kj","◯","","http://localhost:8080/lpgas/contacts/887?pin=9929&token=ec23f16ca03d6f49c2a7ef4f7424f153","×","×","いつでも","通常","しない",""
"886","削除済み","info+deleted@enepi.jp","2018-01-25 15:44","2018-02-01 16:08","2018-02-01 16:08","無し","パソコン","000-0000-0000","000-0000","東京都","削除済み","削除済み","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40","","1701","-554.65432098765","2","紹介済みキャンセル","","","未連絡","d","×","","http://localhost:8080/lpgas/contacts/886?pin=7615&token=6b6daa0273c3ce177f343e8c33081147","×","×","いつでも","通常","しない",""
"885","GasMan","gasman@gmail.com","2018-01-25 15:41","2018-01-31 11:20","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","戸建て","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","1","3","40","","1701","-554.65432098765","2","紹介済み","検討中","","未連絡","","×","","http://localhost:8080/lpgas/contacts/885?pin=7204&token=cee69ed80a5266244a8c9112fcb9b255","×","×","いつでも","通常","しない",""
"884","GasMan","gasman@gmail.com","2018-01-22 11:48","2018-01-31 18:10","-","無し","パソコン","08099999999","1680063","東京都","杉並区和泉","-","-","-","-","-","-","店舗","所有(持ち家)","-","-","-","-","現在住居","×","GasBombe","","3","3","400","ガスコンロ、給湯器、ストーブその他","1701","-443.54320987654","2","送客","情報確認","","未連絡","","×","","http://localhost:8080/lpgas/contacts/884?pin=3939&token=33dc565feee2d54386fa9e031a899836","×","×","いつでも","通常","しない",""
